Nombre_Fondo,Moneda,Fecha,Plazo_Liquidacion,Valor_Cuotaparte_Actual,Rendimiento_Del_Dia_%,Rendimiento_Del_Mes_%,Rendimiento_Del_Anio_%
Fima Acciones Latinoamerica - Clase B,USD,2026-04-08,3.0,1692.921,0.614,20.66,65.727
Fima Acciones Latinoamerica - Clase C,USD,2026-04-08,3.0,1739.567,0.619,20.742,66.143
Superfondo Latinoamerica - Clase A,USD,2026-04-08,5.0,5675.264,0.373,19.362,64.112
Superfondo Latinoamerica - Clase B,USD,2026-04-08,5.0,8937.062,0.449,20.624,70.664
1810 Mas Ahorro,ARS,2026-04-08,1.0,62197.192,0.477,9.807,40.442
1822 Raices Ahorro Plus - Clase A,ARS,2026-04-08,0.0,1777.65,0.671,9.106,38.393
1822 Raices Valores Fiduciarios,ARS,2026-04-08,1.0,217059.485,0.527,9.973,47.475
Adcap Balanceado I - Clase A,ARS,2026-04-08,2.0,129074.705,0.13,,51.339
Adcap Balanceado I - Clase B,ARS,2026-04-08,2.0,117711.028,0.13,9.052,50.474
Adcap Balanceado VI - Clase A,ARS,2026-04-08,2.0,75937.15,,,
Adcap Balanceado VI - Clase B,ARS,2026-04-08,2.0,16508.494,0.456,8.215,47.045
Adcap Balanceado VI - Clase C,ARS,2026-04-08,2.0,12308.006,,,
Adcap Balanceado VI - Clase D,ARS,2026-04-08,2.0,1000.191,,,
Adcap Balanceado VI - Clase E,ARS,2026-04-08,2.0,1000.217,,,
Adcap Balanceado VI - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1292.634,,,
Adcap Cobertura - Clase A,ARS,2026-04-08,2.0,38172.461,0.552,14.867,50.183
Adcap Cobertura - Clase B,ARS,2026-04-08,2.0,39602.417,0.563,15.037,51.013
Adcap Cobertura - Clase C,ARS,2026-04-08,2.0,41906.974,0.569,15.146,53.374
Adcap Cobertura - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1335.351,,,
Adcap Financiamiento Megra - Clase A,ARS,2026-04-08,2.0,1581.041,0.583,10.015,46.032
Adcap Financiamiento Megra - Clase B,ARS,2026-04-08,2.0,1580.793,0.583,10.015,46.031
Adcap Financiamiento Megra - Clase Ley N° 27.743,ARS,2026-04-08,2.0,1298.96,,,
Adcap Moneda - Clase A,ARS,2026-04-08,2.0,28307.235,0.584,-2.981,18.797
Adcap Moneda - Clase B,ARS,2026-04-08,2.0,27884.006,0.594,-2.837,19.454
Adcap Moneda - Clase C,ARS,2026-04-08,2.0,29971.345,0.639,-2.224,22.286
Adcap Moneda - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1201.821,,,
Adcap Pesos Plus - Clase A,ARS,2026-04-08,1.0,128134.89,0.603,11.609,44.284
Adcap Pesos Plus - Clase B,ARS,2026-04-08,1.0,133246.099,0.615,11.805,45.227
Adcap Pesos Plus - Clase C,ARS,2026-04-08,1.0,74375.233,0.621,11.895,45.664
Adcap Pesos Plus - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1775.792,,,
Alianza de Capitales,ARS,2026-04-08,3.0,218369.36,0.279,9.201,40.741
Allaria Ahorro Plus - Clase A,ARS,2026-04-08,1.0,228369.756,0.487,7.528,44.986
Allaria Ahorro Plus - Clase B,ARS,2026-04-08,1.0,229391.578,0.491,7.601,45.349
Allaria Ahorro Plus - Clase C,ARS,2026-04-08,1.0,23998.882,0.496,7.667,45.684
Allaria Ahorro Plus - Clase D,ARS,2026-04-08,1.0,1080.237,0.0,0.0,0.0
Allaria Ahorro Plus - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1614.282,,,
Allaria Dinámico III - Clase A,ARS,2026-04-08,0.0,1918.902,0.428,8.809,38.804
Allaria Dinámico III - Clase B,ARS,2026-04-08,0.0,3603.424,0.433,8.882,39.152
Allaria Dinámico III - Clase C,ARS,2026-04-08,0.0,1990.342,0.438,8.949,39.472
Allaria Dinámico IV - Clase A,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Dinámico IV - Clase B,ARS,2026-04-08,1.0,2892.91,0.014,8.355,45.0
Allaria Dinámico IV - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
Allaria Renta Balanceada II - Clase A,ARS,2026-04-08,0.0,171229.107,0.552,11.015,51.028
Allaria Renta Balanceada II - Clase B,ARS,2026-04-08,0.0,171235.627,0.552,11.015,51.028
Allaria Renta Balanceada II - Clase C,ARS,2026-04-08,0.0,1781.395,0.0,0.0,0.0
Alpha Ahorro - Clase A,ARS,2026-04-08,1.0,12035.201,0.414,9.245,42.34
Alpha Ahorro - Clase B,ARS,2026-04-08,1.0,10688.598,0.4,9.027,41.284
Alpha Ahorro - Clase C,ARS,2026-04-08,1.0,10222.102,0.4,9.027,41.284
